Player,Goal Scoring Efficiency,Creativity Efficiency,D&B Efficiency,Defending Efficiency,Nation,Pos,Squad,Age,Born,90sâ¼,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Passing Cmp,Passing Att,Passing Cmp%,Passing TotDist,Passing PrgDist,Short Passing Cmp,Short Passing Att,Short Passing Cmp%,Medium Passing Cmp,Medium Passing Att,Medium Passing Cmp%,Long Passing Cmp,Long Passing Att,Long Passing Cmp%,Assists,xA,A-xA,KP,Final Third Passes,PPA,CrsPA,Prog,Live Passes,Dead Passes,FK Passes,TB Passes,Press Passes,Sw Passes,Crs Passes,CK Passes,CK Inswinging,CK Outswinging,CK Straight,Ground Passes,Low Passes,High Passes,Left Footed Passes,Right Footed Passes,Head Passes,Throw in Passes,Other Passes,Offside Passes,Out Passes,Intercepted Passes,Blocked Passes,SCA,SCA90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,vs Dribble TklW,vs Dribble Tkl Att,vs Dribble Tkl%,vs Dribble Past,Pressures Total,Pressures Succ,Pressures Succesful%,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Blocked Shots,Blcoked SOT,Blocked Pass,Int,Blocks and Interceptions,Tkl+Int,Clearances,Mistake To Goal,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Megs,Carries,Carry TotDist,Carry PrgDist,Carry Prog,Carries Final Third,Carry into box,Miscontrol,Displaced,Receiving Pass Target,Receiving Pass Rec,Rec%,Proggresive Passes Received,CrdY,CrdR,2CrdY,Fls,Fld,Offsides,Crosses Attempted,PKwon,PKcon,OG,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Minutes Played
John Lundstram,0.2488244,0.3716972,0.4351611,0.55985151,eng ENG,MF,Sheffield Utd,26.00,1994.00,22.60,0.00,19.00,4.00,21.10,0.84,0.18,0.00,0.00,23.20,1.00,0.00,1.00,2.00,1.30,0.07,-2.00,-1.30,843.00,1041.00,81.00,15138.00,3357.00,392.00,423.00,92.70,335.00,380.00,88.20,95.00,191.00,49.70,2.00,1.20,0.80,19.00,59.00,12.00,2.00,59.00,975.00,66.00,15.00,1.00,136.00,49.00,31.00,25.00,17.00,6.00,2.00,738.00,117.00,186.00,276.00,721.00,17.00,8.00,5.00,4.00,15.00,20.00,26.00,37.00,1.64,30.00,5.00,1.00,0.00,0.00,1.00,3.00,0.13,2.00,1.00,0.00,0.00,0.00,0.00,26.00,12.00,9.00,14.00,3.00,9.00,43.00,20.90,34.00,350.00,75.00,21.40,108.00,172.00,70.00,39.00,8.00,0.00,31.00,21.00,60.00,47.00,34.00,1.00,1244.00,46.00,256.00,619.00,457.00,33.00,1180.00,16.00,25.00,64.00,18.00,1.00,820.00,4479.00,1780.00,74.00,33.00,2.00,20.00,21.00,987.00,872.00,88.30,56.00,8.00,1.00,0.00,33.00,24.00,1.00,31.00,0.00,0.00,0.00,171.00,18.00,15.00,54.50,2032.00
Nampalys Mendy,0.231049,0.2098624,0.383943646,0.87916998,sn SEN,MF,Leicester City,28.00,1992.00,16.20,0.00,4.00,2.00,50.00,0.25,0.12,0.00,0.00,26.00,0.00,0.00,0.00,0.10,0.10,0.02,-0.10,-0.10,882.00,965.00,91.40,15259.00,3059.00,404.00,434.00,93.10,382.00,409.00,93.40,81.00,101.00,80.20,1.00,0.40,0.60,6.00,78.00,0.00,0.00,49.00,952.00,13.00,12.00,1.00,101.00,11.00,0.00,0.00,0.00,0.00,0.00,809.00,87.00,69.00,106.00,830.00,18.00,1.00,0.00,1.00,7.00,11.00,6.00,15.00,0.93,11.00,0.00,0.00,0.00,2.00,2.00,2.00,0.12,2.00,0.00,0.00,0.00,0.00,0.00,35.00,22.00,19.00,14.00,2.00,7.00,17.00,41.20,10.00,267.00,84.00,31.50,106.00,123.00,38.00,24.00,2.00,0.00,22.00,9.00,33.00,44.00,11.00,0.00,1110.00,28.00,246.00,734.00,193.00,1.00,1099.00,6.00,14.00,42.90,7.00,1.00,827.00,3597.00,1679.00,65.00,16.00,0.00,17.00,15.00,844.00,807.00,95.60,11.00,5.00,0.00,0.00,26.00,40.00,0.00,0.00,0.00,0.00,0.00,199.00,12.00,17.00,41.40,1459.00
Allan,0.1643506,0.39296382,0.632190315,1.000000512,br BRA,MF,Everton,29.00,1991.00,22.80,0.00,7.00,2.00,28.60,0.31,0.09,0.00,0.00,21.80,0.00,0.00,0.00,0.20,0.20,0.03,-0.20,-0.20,899.00,1048.00,85.80,16984.00,4349.00,369.00,401.00,92.00,382.00,428.00,89.30,129.00,178.00,72.50,0.00,0.90,-0.90,16.00,91.00,15.00,1.00,82.00,1014.00,34.00,22.00,0.00,148.00,14.00,3.00,0.00,0.00,0.00,0.00,768.00,140.00,140.00,113.00,894.00,28.00,5.00,4.00,3.00,11.00,26.00,20.00,38.00,1.67,32.00,0.00,4.00,1.00,1.00,0.00,2.00,0.09,2.00,0.00,0.00,0.00,0.00,0.00,75.00,54.00,39.00,33.00,3.00,28.00,94.00,29.80,66.00,673.00,191.00,28.40,269.00,360.00,44.00,39.00,13.00,0.00,26.00,23.00,62.00,98.00,30.00,0.00,1282.00,74.00,413.00,827.00,151.00,3.00,1249.00,28.00,43.00,65.10,29.00,1.00,809.00,4950.00,2935.00,96.00,32.00,2.00,14.00,22.00,871.00,835.00,95.90,17.00,6.00,0.00,0.00,52.00,38.00,0.00,3.00,0.00,0.00,0.00,221.00,6.00,13.00,31.60,2051.00
Dennis Praet,0.529293,0.45306268,0.488770269,0.590097976,be BEL,CM,Leicester City,26.00,1994.00,8.00,1.00,8.00,2.00,25.00,1.00,0.25,0.13,0.50,16.10,0.00,0.00,0.00,0.50,0.50,0.07,0.50,0.50,248.00,313.00,79.20,3875.00,850.00,135.00,150.00,90.00,92.00,119.00,77.30,14.00,30.00,46.70,1.00,0.80,0.20,7.00,10.00,7.00,2.00,20.00,308.00,5.00,0.00,0.00,56.00,9.00,18.00,0.00,0.00,0.00,0.00,215.00,54.00,44.00,22.00,269.00,16.00,1.00,0.00,1.00,4.00,8.00,6.00,13.00,1.63,12.00,0.00,0.00,0.00,0.00,1.00,2.00,0.25,2.00,0.00,0.00,0.00,0.00,0.00,12.00,7.00,5.00,6.00,1.00,6.00,14.00,42.90,8.00,132.00,32.00,24.20,36.00,64.00,32.00,14.00,2.00,0.00,12.00,9.00,23.00,21.00,3.00,0.00,393.00,6.00,59.00,175.00,178.00,26.00,388.00,10.00,16.00,62.50,11.00,1.00,249.00,1203.00,689.00,36.00,11.00,3.00,10.00,13.00,358.00,276.00,77.10,58.00,0.00,0.00,0.00,15.00,4.00,0.00,18.00,0.00,0.00,0.00,62.00,5.00,11.00,31.30,718.00
Thiago AlcÃ¡ntara,0.2286718,0.73397843,0.849487753,0.90038996,es ESP,MF,Liverpool,29.00,1991.00,20.60,1.00,22.00,5.00,22.70,1.07,0.24,0.05,0.20,21.00,1.00,0.00,0.00,1.40,1.40,0.06,-0.40,-0.40,1498.00,1674.00,89.50,31595.00,8231.00,522.00,564.00,92.60,672.00,725.00,92.70,278.00,338.00,82.20,0.00,2.30,-2.30,29.00,207.00,27.00,1.00,184.00,1630.00,44.00,32.00,9.00,230.00,85.00,4.00,0.00,0.00,0.00,0.00,1222.00,195.00,257.00,83.00,1510.00,48.00,3.00,6.00,5.00,18.00,35.00,23.00,61.00,2.96,51.00,2.00,3.00,2.00,1.00,2.00,2.00,0.10,2.00,0.00,0.00,0.00,0.00,0.00,68.00,43.00,27.00,29.00,12.00,19.00,50.00,38.00,31.00,462.00,135.00,29.20,120.00,232.00,110.00,28.00,1.00,0.00,27.00,42.00,70.00,110.00,21.00,0.00,1902.00,33.00,347.00,1228.00,460.00,18.00,1865.00,28.00,42.00,66.70,30.00,1.00,1358.00,5921.00,3222.00,154.00,58.00,4.00,15.00,18.00,1513.00,1432.00,94.60,38.00,4.00,0.00,0.00,52.00,41.00,0.00,4.00,0.00,1.00,0.00,236.00,34.00,23.00,59.60,1854.00
AndrÃ© Gomes,0.214719,0.4609139,0.474490134,0.86159038,pt POR,MF,Everton,27.00,1993.00,17.40,0.00,14.00,3.00,21.40,0.80,0.17,0.00,0.00,25.00,0.00,0.00,0.00,0.50,0.50,0.03,-0.50,-0.50,750.00,901.00,83.20,14845.00,3523.00,309.00,353.00,87.50,309.00,354.00,87.30,120.00,170.00,70.60,1.00,1.00,0.00,15.00,82.00,13.00,2.00,80.00,886.00,15.00,9.00,2.00,105.00,42.00,17.00,3.00,2.00,0.00,0.00,668.00,103.00,130.00,268.00,603.00,11.00,2.00,1.00,5.00,20.00,29.00,18.00,35.00,2.01,31.00,2.00,1.00,0.00,0.00,1.00,2.00,0.11,2.00,0.00,0.00,0.00,0.00,0.00,48.00,34.00,22.00,23.00,3.00,19.00,58.00,32.80,39.00,369.00,119.00,32.20,124.00,186.00,59.00,30.00,1.00,0.00,29.00,15.00,45.00,63.00,9.00,0.00,1083.00,32.00,246.00,665.00,253.00,16.00,1068.00,26.00,41.00,63.40,28.00,1.00,795.00,3914.00,1874.00,87.00,25.00,3.00,17.00,35.00,855.00,776.00,90.80,37.00,3.00,0.00,0.00,50.00,22.00,2.00,17.00,0.00,1.00,0.00,175.00,19.00,17.00,52.80,1570.00
James McArthur,0.229926,0.3170803,0.400954474,0.948083844,sct SCO,MF,Crystal Palace,32.00,1987.00,16.30,0.00,6.00,0.00,0.00,0.37,0.00,0.00,,19.20,0.00,0.00,0.00,0.20,0.20,0.04,-0.20,-0.20,627.00,769.00,81.50,11897.00,3424.00,240.00,276.00,87.00,288.00,327.00,88.10,83.00,128.00,64.80,2.00,0.90,1.10,13.00,63.00,6.00,0.00,60.00,727.00,42.00,17.00,0.00,140.00,15.00,7.00,0.00,0.00,0.00,0.00,523.00,101.00,145.00,197.00,503.00,40.00,8.00,3.00,3.00,15.00,23.00,22.00,19.00,1.17,18.00,0.00,0.00,0.00,1.00,0.00,2.00,0.12,2.00,0.00,0.00,0.00,0.00,0.00,56.00,26.00,29.00,22.00,5.00,18.00,45.00,40.00,27.00,378.00,102.00,27.00,159.00,182.00,37.00,39.00,4.00,0.00,35.00,23.00,62.00,79.00,25.00,0.00,953.00,50.00,276.00,590.00,139.00,19.00,912.00,17.00,22.00,77.30,18.00,1.00,560.00,2906.00,1392.00,56.00,21.00,2.00,11.00,14.00,586.00,534.00,91.10,25.00,3.00,0.00,0.00,34.00,16.00,0.00,7.00,0.00,0.00,0.00,207.00,20.00,20.00,50.00,1466.00
Okay YokuÅlu,0.255937,0.17306898,0.214468774,0.999999,tr TUR,MF,West Brom,26.00,1994.00,14.60,0.00,12.00,0.00,0.00,0.82,0.00,0.00,,20.20,1.00,0.00,0.00,0.90,0.90,0.07,-0.90,-0.90,441.00,530.00,83.20,7663.00,2263.00,211.00,236.00,89.40,152.00,186.00,81.70,59.00,76.00,77.60,1.00,0.60,0.40,5.00,27.00,3.00,0.00,42.00,513.00,17.00,9.00,2.00,122.00,11.00,3.00,0.00,0.00,0.00,0.00,337.00,93.00,100.00,72.00,389.00,37.00,3.00,7.00,4.00,7.00,18.00,12.00,11.00,0.75,7.00,0.00,0.00,1.00,3.00,0.00,2.00,0.14,1.00,0.00,0.00,1.00,0.00,0.00,47.00,33.00,25.00,20.00,2.00,16.00,37.00,43.20,21.00,284.00,89.00,31.30,127.00,132.00,25.00,25.00,3.00,0.00,22.00,42.00,67.00,89.00,40.00,1.00,714.00,64.00,237.00,417.00,102.00,10.00,700.00,18.00,24.00,75.00,18.00,1.00,390.00,1766.00,807.00,19.00,9.00,1.00,7.00,12.00,347.00,318.00,91.60,11.00,4.00,0.00,0.00,34.00,33.00,0.00,3.00,0.00,2.00,0.00,203.00,41.00,20.00,67.20,1317.00
Vitinha,0.626876,0.854452,0.794345272,0.8187864,pt POR,MF,Wolves,20.00,2000.00,5.80,0.00,9.00,4.00,44.40,1.56,0.69,0.00,0.00,21.60,0.00,0.00,0.00,0.60,0.60,0.06,-0.60,-0.60,290.00,329.00,88.10,4834.00,678.00,137.00,153.00,89.50,117.00,122.00,95.90,27.00,40.00,67.50,1.00,0.70,0.30,12.00,21.00,3.00,0.00,12.00,314.00,15.00,5.00,1.00,68.00,6.00,3.00,9.00,1.00,7.00,0.00,259.00,38.00,32.00,7.00,314.00,8.00,0.00,0.00,2.00,1.00,9.00,5.00,21.00,3.63,17.00,2.00,1.00,1.00,0.00,0.00,1.00,0.17,1.00,0.00,0.00,0.00,0.00,0.00,10.00,7.00,3.00,6.00,1.00,0.00,7.00,0.00,7.00,127.00,41.00,32.30,30.00,76.00,21.00,3.00,0.00,0.00,3.00,4.00,7.00,14.00,2.00,0.00,387.00,2.00,41.00,236.00,140.00,10.00,372.00,8.00,11.00,72.70,9.00,1.00,284.00,1606.00,896.00,45.00,14.00,2.00,11.00,10.00,356.00,310.00,87.10,25.00,0.00,0.00,0.00,12.00,9.00,1.00,3.00,0.00,0.00,0.00,36.00,0.00,2.00,0.00,520.00
Kalvin Phillips,0.1677955,0.51052674,0.313159669,0.96064664,eng ENG,MF,Leeds United,24.00,1995.00,27.00,1.00,15.00,5.00,33.30,0.56,0.19,0.07,0.20,26.20,3.00,0.00,0.00,0.40,0.40,0.02,0.60,0.60,1210.00,1461.00,82.80,28517.00,7192.00,337.00,376.00,89.60,537.00,599.00,89.60,321.00,448.00,71.70,2.00,3.80,-1.80,34.00,139.00,16.00,3.00,104.00,1334.00,127.00,66.00,4.00,137.00,107.00,25.00,56.00,26.00,22.00,1.00,959.00,166.00,336.00,147.00,1219.00,63.00,5.00,5.00,6.00,23.00,17.00,28.00,58.00,2.15,33.00,19.00,0.00,1.00,2.00,3.00,1.00,0.04,1.00,0.00,0.00,0.00,0.00,0.00,74.00,44.00,43.00,25.00,6.00,24.00,81.00,29.60,57.00,639.00,193.00,30.20,256.00,316.00,67.00,61.00,15.00,0.00,46.00,49.00,110.00,123.00,59.00,1.00,1770.00,120.00,623.00,943.00,307.00,9.00,1654.00,17.00,27.00,63.00,18.00,1.00,1039.00,5237.00,2279.00,60.00,14.00,2.00,22.00,30.00,1120.00,1054.00,94.10,21.00,10.00,0.00,0.00,63.00,36.00,0.00,25.00,0.00,0.00,0.00,325.00,31.00,35.00,47.00,2428.00
N'Golo KantÃ©,0.1164632,0.44706708,0.55592221,0.978699856,fr FRA,CDM,Chelsea,29.00,1991.00,23.80,0.00,10.00,3.00,30.00,0.42,0.13,0.00,0.00,19.50,0.00,0.00,0.00,0.90,0.90,0.09,-0.90,-0.90,1302.00,1504.00,86.60,23870.00,5264.00,537.00,604.00,88.90,609.00,669.00,91.00,133.00,180.00,73.90,2.00,1.10,0.90,21.00,99.00,12.00,1.00,101.00,1484.00,20.00,17.00,2.00,191.00,40.00,8.00,0.00,0.00,0.00,0.00,1170.00,166.00,168.00,205.00,1227.00,51.00,3.00,4.00,3.00,18.00,34.00,27.00,47.00,1.97,42.00,0.00,2.00,1.00,0.00,2.00,1.00,0.04,1.00,0.00,0.00,0.00,0.00,0.00,87.00,57.00,42.00,40.00,5.00,29.00,60.00,48.30,31.00,478.00,164.00,34.30,201.00,213.00,64.00,62.00,5.00,0.00,57.00,62.00,124.00,149.00,32.00,0.00,1806.00,65.00,480.00,1070.00,372.00,17.00,1787.00,29.00,38.00,76.30,29.00,1.00,1135.00,5484.00,2999.00,112.00,38.00,4.00,26.00,27.00,1298.00,1217.00,93.80,43.00,7.00,0.00,0.00,50.00,12.00,0.00,8.00,0.00,0.00,0.00,284.00,19.00,31.00,38.00,2146.00
James Milner,0.2336176,0.9999988,0.633123818,0.91759672,eng ENG,CDM,Liverpool,34.00,1986.00,11.90,0.00,12.00,3.00,25.00,1.01,0.25,0.00,0.00,22.80,0.00,0.00,0.00,0.40,0.40,0.04,-0.40,-0.40,776.00,914.00,84.90,14666.00,4242.00,332.00,360.00,92.20,331.00,369.00,89.70,105.00,146.00,71.90,1.00,1.20,-0.20,13.00,76.00,26.00,5.00,89.00,847.00,67.00,13.00,3.00,113.00,20.00,17.00,13.00,5.00,6.00,0.00,660.00,125.00,129.00,74.00,762.00,19.00,38.00,2.00,2.00,12.00,19.00,28.00,22.00,1.85,17.00,3.00,1.00,0.00,0.00,1.00,1.00,0.08,0.00,1.00,0.00,0.00,0.00,0.00,26.00,14.00,8.00,16.00,2.00,10.00,36.00,27.80,26.00,209.00,69.00,33.00,52.00,121.00,36.00,39.00,4.00,0.00,35.00,16.00,55.00,42.00,21.00,1.00,1056.00,29.00,192.00,605.00,308.00,25.00,992.00,6.00,13.00,46.20,6.00,1.00,686.00,2919.00,1566.00,69.00,24.00,1.00,6.00,11.00,795.00,731.00,91.90,33.00,3.00,0.00,0.00,20.00,13.00,0.00,17.00,0.00,0.00,0.00,141.00,25.00,14.00,64.10,1070.00
Ibrahima Diallo,0.1705766,0.3602324,0.50120761,0.93029316,fr FRA,MF,Southampton,21.00,1999.00,11.30,0.00,8.00,2.00,25.00,0.71,0.18,0.00,0.00,20.60,0.00,0.00,0.00,0.60,0.60,0.08,-0.60,-0.60,500.00,587.00,85.20,8755.00,1972.00,219.00,247.00,88.70,230.00,249.00,92.40,41.00,76.00,53.90,0.00,0.60,-0.60,8.00,36.00,6.00,1.00,33.00,576.00,11.00,9.00,1.00,109.00,7.00,7.00,0.00,0.00,0.00,0.00,466.00,50.00,71.00,58.00,504.00,19.00,2.00,0.00,2.00,10.00,14.00,6.00,18.00,1.59,15.00,0.00,0.00,1.00,1.00,1.00,1.00,0.09,1.00,0.00,0.00,0.00,0.00,0.00,30.00,25.00,14.00,14.00,2.00,9.00,23.00,39.10,14.00,242.00,82.00,33.90,81.00,144.00,17.00,14.00,1.00,0.00,13.00,16.00,30.00,46.00,16.00,0.00,714.00,27.00,190.00,450.00,123.00,10.00,706.00,11.00,17.00,64.70,13.00,1.00,458.00,2083.00,1065.00,45.00,19.00,0.00,10.00,21.00,530.00,491.00,92.60,15.00,3.00,0.00,0.00,31.00,18.00,0.00,7.00,0.00,1.00,0.00,126.00,8.00,19.00,29.60,1020.00
Robert Snodgrass,0.320462,0.40300254,0.578928,0.7334986,sct SCO,MF,West Brom,32.00,1987.00,5.80,0.00,4.00,1.00,25.00,0.68,0.17,0.00,0.00,17.60,1.00,0.00,0.00,0.20,0.20,0.05,-0.20,-0.20,105.00,133.00,78.90,1699.00,544.00,59.00,71.00,83.10,36.00,48.00,75.00,7.00,11.00,63.60,0.00,0.30,-0.30,3.00,9.00,5.00,0.00,15.00,132.00,1.00,0.00,0.00,28.00,1.00,5.00,0.00,0.00,0.00,0.00,85.00,19.00,29.00,100.00,17.00,8.00,0.00,2.00,1.00,1.00,3.00,0.00,6.00,1.03,6.00,0.00,0.00,0.00,0.00,0.00,1.00,0.17,1.00,0.00,0.00,0.00,0.00,0.00,20.00,12.00,13.00,5.00,2.00,8.00,18.00,44.40,10.00,86.00,25.00,29.10,34.00,34.00,18.00,13.00,3.00,0.00,10.00,4.00,17.00,24.00,12.00,0.00,207.00,15.00,62.00,83.00,71.00,11.00,205.00,3.00,6.00,50.00,3.00,1.00,112.00,573.00,222.00,13.00,4.00,4.00,2.00,4.00,140.00,91.00,65.00,18.00,2.00,0.00,0.00,12.00,13.00,1.00,5.00,0.00,0.00,0.00,55.00,10.00,13.00,43.50,526.00
Jakub Moder,0.3863653,0.47279095,0.907199468,0.7059226,pl POL,CM,Brighton,21.00,1999.00,7.20,0.00,13.00,3.00,23.10,1.81,0.42,0.00,0.00,17.80,0.00,0.00,0.00,0.90,0.90,0.07,-0.90,-0.90,200.00,268.00,74.60,2874.00,870.00,118.00,135.00,87.40,71.00,90.00,78.90,6.00,24.00,25.00,0.00,0.20,-0.20,3.00,17.00,7.00,0.00,21.00,260.00,8.00,0.00,0.00,52.00,7.00,13.00,0.00,0.00,0.00,0.00,198.00,37.00,33.00,61.00,187.00,7.00,8.00,0.00,0.00,4.00,12.00,17.00,11.00,1.53,7.00,1.00,1.00,1.00,0.00,1.00,1.00,0.14,1.00,0.00,0.00,0.00,0.00,0.00,16.00,8.00,7.00,6.00,3.00,4.00,17.00,23.50,13.00,134.00,39.00,29.10,43.00,49.00,42.00,17.00,1.00,0.00,16.00,8.00,25.00,24.00,14.00,0.00,369.00,18.00,67.00,149.00,177.00,25.00,361.00,9.00,16.00,56.30,10.00,1.00,259.00,1575.00,889.00,50.00,11.00,7.00,12.00,6.00,303.00,248.00,81.80,23.00,0.00,0.00,0.00,14.00,6.00,2.00,13.00,0.00,0.00,0.00,47.00,6.00,12.00,33.30,647.00
Ben Osborn,0.2031984,0.7395168,0.58576688,0.66500775,eng ENG,CDM,Sheffield Utd,25.00,1994.00,17.80,1.00,9.00,4.00,44.40,0.50,0.22,0.11,0.25,17.90,0.00,0.00,0.00,1.20,1.20,0.14,-0.20,-0.20,663.00,840.00,78.90,10376.00,3744.00,393.00,435.00,90.30,207.00,247.00,83.80,51.00,122.00,41.80,0.00,2.10,-2.10,19.00,54.00,28.00,11.00,70.00,771.00,69.00,9.00,1.00,141.00,19.00,46.00,13.00,8.00,3.00,0.00,558.00,135.00,147.00,621.00,131.00,25.00,46.00,5.00,2.00,9.00,13.00,31.00,29.00,1.63,25.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,16.00,17.00,8.00,4.00,11.00,47.00,23.40,36.00,394.00,87.00,22.10,123.00,166.00,105.00,29.00,3.00,0.00,26.00,16.00,45.00,45.00,16.00,0.00,1023.00,33.00,215.00,451.00,422.00,41.00,956.00,18.00,30.00,60.00,21.00,1.00,652.00,3253.00,1717.00,82.00,32.00,8.00,33.00,21.00,838.00,695.00,82.90,87.00,1.00,0.00,0.00,16.00,17.00,4.00,46.00,0.00,0.00,0.00,150.00,13.00,22.00,37.10,1604.00
JÃ³hann Berg GuÃ°mundsson,0.4782766,0.50358879,0.4946308,0.51619116,is ISL,MF,Burnley,29.00,1990.00,15.10,2.00,19.00,8.00,42.10,1.25,0.53,0.11,0.25,19.90,1.00,0.00,0.00,1.70,1.70,0.09,0.30,0.30,356.00,472.00,75.40,6119.00,1493.00,190.00,220.00,86.40,113.00,143.00,79.00,44.00,91.00,48.40,0.00,0.50,-0.50,10.00,19.00,15.00,5.00,34.00,466.00,6.00,0.00,1.00,106.00,18.00,24.00,4.00,3.00,1.00,0.00,308.00,60.00,104.00,373.00,49.00,30.00,1.00,3.00,3.00,6.00,10.00,9.00,27.00,1.78,22.00,1.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,14.00,6.00,9.00,4.00,10.00,23.00,43.50,13.00,166.00,48.00,28.90,48.00,72.00,46.00,19.00,2.00,0.00,17.00,17.00,36.00,36.00,14.00,0.00,601.00,22.00,99.00,268.00,271.00,31.00,594.00,6.00,21.00,28.60,8.00,1.00,428.00,2458.00,1238.00,73.00,22.00,6.00,12.00,16.00,538.00,410.00,76.20,57.00,2.00,0.00,0.00,12.00,17.00,2.00,24.00,0.00,0.00,0.00,108.00,19.00,31.00,38.00,1363.00
Mohamed Elneny,0.1055592,0.26546,0.479457885,0.59629181,eg EGY,MF,Arsenal,28.00,1992.00,17.20,1.00,9.00,2.00,22.20,0.52,0.12,0.11,0.50,19.30,0.00,0.00,0.00,0.50,0.50,0.06,0.50,0.50,937.00,1003.00,93.40,18475.00,3672.00,334.00,351.00,95.20,458.00,476.00,96.20,136.00,157.00,86.60,0.00,0.20,-0.20,4.00,77.00,9.00,0.00,60.00,981.00,22.00,20.00,1.00,119.00,24.00,3.00,0.00,0.00,0.00,0.00,836.00,83.00,84.00,65.00,889.00,39.00,2.00,5.00,3.00,8.00,4.00,9.00,16.00,0.93,13.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,11.00,9.00,7.00,0.00,5.00,19.00,26.30,14.00,197.00,57.00,28.90,71.00,91.00,35.00,18.00,4.00,0.00,14.00,20.00,38.00,36.00,24.00,1.00,1102.00,74.00,342.00,675.00,150.00,5.00,1082.00,7.00,9.00,77.80,7.00,1.00,837.00,3937.00,1981.00,70.00,17.00,0.00,5.00,7.00,882.00,845.00,95.80,10.00,3.00,0.00,0.00,18.00,16.00,0.00,3.00,0.00,0.00,0.00,144.00,8.00,19.00,29.60,1544.00
James Ward-Prowse,0.60987263,0.5959331,0.359005708,0.912669486,eng ENG,MF,Southampton,25.00,1994.00,38.00,8.00,39.00,18.00,46.20,1.03,0.47,0.13,0.28,25.40,20.00,3.00,4.00,5.30,2.20,0.06,2.70,2.80,2117.00,2619.00,80.80,37952.00,10063.00,939.00,1040.00,90.30,914.00,1011.00,90.40,224.00,498.00,45.00,7.00,4.10,2.90,57.00,155.00,24.00,1.00,155.00,2283.00,336.00,135.00,4.00,311.00,110.00,52.00,166.00,78.00,76.00,9.00,1770.00,264.00,585.00,252.00,2182.00,129.00,15.00,6.00,10.00,28.00,33.00,43.00,84.00,2.21,39.00,41.00,0.00,2.00,2.00,0.00,11.00,0.29,4.00,7.00,0.00,0.00,0.00,0.00,84.00,57.00,34.00,43.00,7.00,29.00,74.00,39.20,45.00,631.00,207.00,32.80,221.00,324.00,86.00,71.00,5.00,0.00,66.00,44.00,115.00,128.00,76.00,0.00,2989.00,103.00,676.00,1768.00,693.00,23.00,2637.00,15.00,23.00,65.20,16.00,0.00,1551.00,6986.00,3475.00,120.00,41.00,1.00,16.00,17.00,1966.00,1817.00,92.40,40.00,5.00,0.00,0.00,55.00,37.00,0.00,52.00,0.00,1.00,0.00,483.00,49.00,64.00,43.40,3420.00
Pascal GroÃ,0.6105977,1.0000007,0.6040832,0.612820292,de GER,CDM,Brighton,29.00,1991.00,27.60,3.00,28.00,4.00,14.30,1.01,0.14,0.00,0.00,20.90,6.00,3.00,4.00,5.60,2.50,0.09,-2.60,-2.50,1260.00,1669.00,75.50,25820.00,7297.00,504.00,590.00,85.40,506.00,606.00,83.50,236.00,424.00,55.70,8.00,5.50,2.50,67.00,81.00,50.00,17.00,129.00,1416.00,253.00,64.00,3.00,211.00,100.00,98.00,136.00,47.00,63.00,6.00,1043.00,198.00,428.00,269.00,1282.00,48.00,50.00,3.00,6.00,37.00,32.00,38.00,110.00,3.99,63.00,40.00,0.00,4.00,2.00,1.00,9.00,0.33,6.00,3.00,0.00,0.00,0.00,0.00,44.00,24.00,24.00,15.00,5.00,19.00,47.00,40.40,28.00,430.00,112.00,26.00,141.00,189.00,100.00,33.00,5.00,0.00,28.00,25.00,58.00,69.00,24.00,0.00,1900.00,43.00,363.00,895.00,771.00,74.00,1644.00,11.00,20.00,55.00,11.00,0.00,1180.00,5810.00,2610.00,139.00,56.00,8.00,30.00,22.00,1456.00,1264.00,86.80,114.00,3.00,0.00,0.00,22.00,18.00,5.00,98.00,1.00,0.00,0.00,227.00,22.00,47.00,31.90,2484.00
