Player,Goal-Scoring Efficiency,Creativity Efficiency,Dribbling and Ball Carrying Efficiency,Defending Efficiency,Pos,Squad,Age,Gls,SoT,SoT(Per),G-xG,Big Chances Missed,GCA,Assists,xA,KP,PPA,CrsPA,SCA,Tackles TklW,Tackles Won (Per),Pressures Succ,Blocks and Interceptions,Clearances,Mistake To Goal,Mistake To Goal,Recoveries,Aerial Duels Won%,Dribbles Succ(Per),SCA Drib,GCA Drib,Carry PrgDist,Carries Final Third,Carry into box,Minutes Played
Emil Krafth,0.37,0.26,0.307,0.805,FB,Newcastle Utd,25,1,3,42.9,0.8,1.5,1,0,0.4,6,3,3,14,16,0.7,52,54,56,1,1,104,50,33.3,1,0,821,11,2,1288
Jamal Lewis,0.241,0.383,0.346,0.741,FB,Newcastle Utd,22,0,1,33.3,-0.2,1.5,2,1,1.6,15,16,10,29,26,0.52,81,55,35,1,1,153,43.8,51.9,1,0,1372,18,1,1837
George Baldock,0.159,0.312,0.499,0.679,FB,Sheffield Utd,27,0,2,15.4,-1.1,1.5,2,2,1.7,17,29,8,32,27,0.49,113,81,82,0,1.5,209,45.3,48.9,1,0,2791,48,11,2787
Joel Ward,0.196,0.162,0.331,0.914,FB,Crystal Palace,30,0,1,50,-0.1,1.5,2,1,0.4,7,10,2,15,26,0.57,92,101,115,1,1,227,58.4,71.4,0,0,1385,27,0,2256
Jonny Castro,0,0.29,0.544,0.767,FB,Wolves,26,0,0,0,-0.1,1.5,0,0,0.1,3,1,1,6,5,0.63,25,17,8,0,1.5,38,66.7,50,0,0,552,9,2,495
Nathaniel Clyne,0.193,0.341,0.321,0.737,FB,Crystal Palace,29,0,1,25,-0.1,1.5,1,1,0.4,4,13,6,7,9,0.43,31,38,32,0,1.5,99,31.8,60,0,0,776,12,0,1145
Kieran Gibbs,0.274,0.15,0.283,0.843,FB,West Brom,30,0,0,0,0,1.5,1,0,0.3,3,3,3,4,6,0.43,20,31,33,0,1.5,80,45.5,66.7,0,0,553,5,0,809
Darnell Furlong,0.246,0.284,0.292,0.695,FB,West Brom,24,1,5,19.2,-1,1.5,3,3,2.1,17,18,14,34,17,0.35,83,108,120,1,1,212,63.2,44.4,0,0,1543,31,2,2932
Fernando Mar̤al,0,0.24,0.429,0.834,FB,Wolves,31,0,0,0,-0.1,1.5,0,0,0.2,4,2,1,4,4,0.4,20,27,23,0,1.5,56,45,77.8,0,0,649,5,0,623
Christian Fuchs,0,0.104,0.433,0.961,FB,Leicester City,34,0,0,0,-0.1,1.5,0,0,0,1,2,1,3,9,0.6,23,28,31,0,1.5,80,63.2,0,0,0,696,8,0,702
Javier Manquillo,0,0.233,0.394,0.811,FB,Newcastle Utd,26,0,0,0,0,1.5,0,0,0.2,4,4,2,8,14,0.52,33,25,21,0,1.5,75,63,28.6,0,0,731,9,0,825
Japhet Tanganga,0,0.185,0.296,0.862,FB,Tottenham,21,0,0,0,-0.2,1.5,0,0,0,0,3,1,1,4,1,22,11,19,0,1.5,50,55,85.7,0,0,350,3,0,487
