Player,Goal-Scoring Efficiency,Creativity Efficiency,avg,D&B Efficiency,Defending Efficiency,Pos,Squad,Age,Gls,SoT,SoT(Per),G-xG,Big Chances Missed,GCA,Assists,xA,KP,PPA,CrsPA,SCA,Tackles TklW,Tackles Won (Per),Pressures Succ,Blocks and Interceptions,Clearances,Mistake To Goal,Mistake To Goal,Recoveries,Aerial Duels Won%,Dribbles Succ(Per),SCA Drib,GCA Drib,Carry PrgDist,Carries Final Third,Carry into box,Minutes Played
Steven Bergwijn,0.506,0.384,0.445,0.392,0.604,CAM,Tottenham,22,1,5,33.3,-1.5,0.2,6,3,1.3,14,9,0,33,10,0.63,63,22,5,0,1.5,80,11.1,51.2,0,0,1283,24,9,1208
HÃ©lder Costa,0.575,0.270,0.423,0.414,0.660,CAM,Leeds United,26,3,6,37.5,1,0.33,6,3,0.9,9,13,4,21,15,0.5,72,25,9,0,1.5,68,13.8,46.3,2,0,1213,13,11,1156
Nathan Redmond,0.310,0.469,0.390,0.751,0.694,CAM,Southampton,26,2,14,31.1,-1.3,0.5,4,3,3.2,29,31,5,58,17,0.53,106,47,11,0,1.5,121,22.9,52.4,10,0,2076,42,20,1738
Andros Townsend,0.321,0.441,0.381,0.646,1.000,CAM,Crystal Palace,29,1,11,30.6,-1.3,0.5,7,5,3.7,39,40,20,66,36,0.52,134,109,12,0,1.5,203,17.2,64.7,7,0,3344,64,11,2258
Alex Iwobi,0.330,0.423,0.377,0.712,0.691,CAM,Everton,24,1,3,20,-0.1,1,5,2,1.8,16,26,9,46,21,0.64,73,40,12,0,1.5,118,33.3,64.8,2,0,2997,43,14,1542
Nathan Tella,0.381,0.359,0.370,0.530,0.797,CAM,Southampton,21,1,7,46.7,-0.8,0.5,2,1,0.8,6,8,4,19,8,0.67,56,22,5,0,1.5,58,14.3,64,3,0,645,12,7,745
Tyler Roberts,0.320,0.397,0.359,0.544,0.649,CAM,Leeds United,21,1,12,46.2,-1.1,1,3,2,1.8,15,22,1,36,8,0.44,64,29,14,1,1,100,45.5,63,3,0,1232,34,5,1340
Adam Lallana,0.278,0.434,0.356,0.442,0.882,CAM,Brighton,32,1,4,18.2,-1.4,1.5,4,1,2.8,27,28,3,48,26,0.81,113,42,14,0,1.5,158,28.9,62.5,0,0,1916,21,12,1596
Jacob Murphy,0.307,0.379,0.343,0.519,0.954,CAM,Newcastle Utd,25,2,8,27.6,0.8,1,4,3,2.4,18,28,10,37,35,0.71,95,61,34,0,1.5,108,20.8,69.8,4,0,2032,34,14,1626
Takumi Minamino,0.440,0.218,0.329,0.312,0.780,CAM,Southampton,25,2,4,30.8,0.8,0.33,1,0,0.5,5,5,0,11,2,0.4,45,18,11,0,1.5,62,26.7,41.7,0,0,598,7,5,711
Alexis Mac Allister,0.246,0.409,0.327,0.285,0.847,CAM,Brighton,21,1,3,11.5,-0.1,1,2,1,2.4,15,17,0,30,18,0.72,85,31,5,0,1.5,102,29.4,60,0,0,869,15,2,1115
Ivan Cavaleiro,0.183,0.450,0.316,0.374,0.632,CAM,Fulham,26,3,16,34.8,-3.2,0.14,1,0,3.4,44,30,11,72,21,0.75,131,56,22,1,1,173,34.1,58.4,3,0,2465,38,23,2472
Miguel AlmirÃ³n,0.261,0.365,0.313,0.554,0.687,CAM,Newcastle Utd,26,4,13,39.4,0.8,0.33,4,1,2.8,28,26,7,63,29,0.6,114,63,24,1,1,189,28.6,56.3,6,0,3272,57,11,2429
Theo Walcott,0.348,0.266,0.307,0.384,0.668,CAM,Southampton,31,3,11,36.7,0,0.5,4,3,1.2,17,14,4,28,18,0.62,101,32,6,0,1.5,115,21.6,40.8,2,0,1550,30,13,1618
Jacob Ramsey,0.271,0.315,0.293,0.322,1.000,CAM,Aston Villa,19,0,1,9.1,-0.5,1.5,1,0,0.3,6,1,1,14,7,0.64,60,23,9,0,1.5,54,22.7,64.3,0,0,551,9,2,626
Matt Phillips,0.200,0.373,0.287,0.414,0.818,CAM,West Brom,29,2,9,40.9,-0.5,0.5,2,1,3.1,27,21,14,44,14,0.67,72,67,23,0,1.5,150,24.6,49.1,4,0,1757,28,17,1828
Jordan Ayew,0.346,0.221,0.284,0.398,0.804,CAM,Crystal Palace,28,1,11,44,-1.4,0.5,7,3,0.7,12,14,2,33,33,0.63,159,58,12,0,1.5,132,22,52.3,2,0,2270,39,14,2096
Grady Diangana,0.188,0.228,0.208,0.401,0.808,CAM,West Brom,22,1,5,35.7,-0.2,1,1,0,0.2,5,7,0,20,19,0.54,67,44,5,1,1,80,28.8,48,1,0,1351,21,7,1235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.576316016,0.542837177,0.559576596,0.611136791,0.714162667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
