Player,GS Efficiency,Creativity Eff,D&B Eff,Defending Ef,Nation,Pos,Squad,Age,Born,90sâ¼,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Passing Cmp,Passing Att,Passing Cmp%,Passing TotDist,Passing PrgDist,Short Passing Cmp,Short Passing Att,Short Passing Cmp%,Medium Passing Cmp,Medium Passing Att,Medium Passing Cmp%,Long Passing Cmp,Long Passing Att,Long Passing Cmp%,Assists,xA,A-xA,KP,Final Third Passes,PPA,CrsPA,Prog,Live Passes,Dead Passes,FK Passes,TB Passes,Press Passes,Sw Passes,Crs Passes,CK Passes,CK Inswinging,CK Outswinging,CK Straight,Ground Passes,Low Passes,High Passes,Left Footed Passes,Right Footed Passes,Head Passes,Throw in Passes,Other Passes,Offside Passes,Out Passes,Intercepted Passes,Blocked Passes,SCA,SCA90,SCA PassLive,SCA PassDead,SCA Drib,SCA Sh,SCA Fld,SCA Def,GCA,GCA90,GCA PassLive,GCA PassDead,GCA Drib,GCA Sh,GCA Fld,GCA Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,vs Dribble TklW,vs Dribble Tkl Att,vs Dribble Tkl%,vs Dribble Past,Pressures Total,Pressures Succ,Pressures Succesful%,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Blocked Shots,Blcoked SOT,Blocked Pass,Int,Blocks and Interceptions,Tkl+Int,Clearances,Mistake To Goal,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Megs,Carries,Carry TotDist,Carry PrgDist,Carry Prog,Carries Final Third,Carry into box,Miscontrol,Displaced,Receiving Pass Target,Receiving Pass Rec,Rec%,Proggresive Passes Received,CrdY,CrdR,2CrdY,Fls,Fld,Offsides,Crosses Attempted,PKwon,PKcon,OG,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Minutes Played
Nathaniel Phillips,0.3766298,0.2549763,0.519854187,0.90352947,eng ENG,CB,Liverpool,23.00,1997.00,16.20,1.00,13.00,1.00,7.70,0.80,0.06,0.08,1.00,9.40,0.00,0.00,0.00,1.10,1.10,0.09,-0.10,-0.10,923.00,1058.00,87.20,19944.00,6161.00,265.00,289.00,91.70,492.00,523.00,94.10,159.00,231.00,68.80,1.00,0.40,0.60,6.00,79.00,2.00,0.00,60.00,1032.00,26.00,18.00,1.00,123.00,25.00,2.00,0.00,0.00,0.00,0.00,761.00,105.00,192.00,94.00,849.00,59.00,8.00,6.00,1.00,16.00,14.00,9.00,11.00,0.68,10.00,0.00,0.00,1.00,0.00,0.00,1.00,0.06,0.00,0.00,0.00,1.00,0.00,0.00,18.00,12.00,13.00,5.00,0.00,4.00,23.00,17.40,19.00,193.00,69.00,35.80,89.00,96.00,8.00,23.00,16.00,2.00,7.00,29.00,52.00,47.00,143.00,0.00,1284.00,157.00,628.00,645.00,57.00,20.00,1262.00,1.00,1.00,100.00,1.00,0.00,776.00,4044.00,1869.00,47.00,7.00,1.00,6.00,2.00,862.00,842.00,97.70,3.00,2.00,0.00,0.00,26.00,12.00,0.00,2.00,0.00,0.00,0.00,184.00,103.00,39.00,72.50,1456.00
Andreas Christensen,0.15992,0.2521028,0.57248586,0.76691359,dk DEN,CB,Chelsea,24.00,1996.00,15.20,0.00,3.00,0.00,0.00,0.20,0.00,0.00,,11.10,0.00,0.00,0.00,0.10,0.10,0.03,-0.10,-0.10,1011.00,1089.00,92.80,21334.00,5754.00,295.00,316.00,93.40,551.00,578.00,95.30,158.00,183.00,86.30,0.00,0.40,-0.40,6.00,44.00,3.00,0.00,46.00,1064.00,25.00,20.00,0.00,82.00,14.00,1.00,0.00,0.00,0.00,0.00,934.00,54.00,101.00,74.00,957.00,37.00,4.00,2.00,3.00,6.00,11.00,6.00,9.00,0.59,9.00,0.00,0.00,0.00,0.00,0.00,1.00,0.07,1.00,0.00,0.00,0.00,0.00,0.00,20.00,12.00,14.00,4.00,2.00,5.00,11.00,45.50,6.00,103.00,38.00,36.90,56.00,38.00,9.00,26.00,15.00,0.00,11.00,26.00,52.00,46.00,80.00,1.00,1245.00,181.00,698.00,595.00,34.00,7.00,1221.00,1.00,2.00,50.00,2.00,0.00,833.00,4172.00,2385.00,54.00,10.00,0.00,2.00,3.00,930.00,916.00,98.50,1.00,2.00,1.00,0.00,12.00,10.00,0.00,1.00,0.00,0.00,0.00,131.00,45.00,22.00,67.20,1371.00
RÃºben Dias,0.5403685,0.2492863,0.932629978,0.62880735,pt POR,CB,Manchester City,23.00,1997.00,31.60,1.00,14.00,7.00,50.00,0.44,0.22,0.07,0.14,7.50,0.00,0.00,0.00,2.40,2.40,0.17,-1.40,-1.40,2499.00,2672.00,93.50,54265.00,14607.00,617.00,647.00,95.40,1427.00,1471.00,97.00,439.00,520.00,84.40,0.00,0.10,-0.10,3.00,166.00,9.00,1.00,116.00,2620.00,52.00,49.00,1.00,196.00,59.00,2.00,0.00,0.00,0.00,0.00,2283.00,146.00,243.00,421.00,2126.00,80.00,3.00,5.00,6.00,21.00,21.00,12.00,21.00,0.66,19.00,0.00,0.00,1.00,1.00,0.00,2.00,0.06,1.00,0.00,0.00,1.00,0.00,0.00,31.00,21.00,17.00,12.00,2.00,6.00,23.00,26.10,17.00,181.00,67.00,37.00,92.00,70.00,19.00,45.00,25.00,0.00,20.00,22.00,67.00,53.00,118.00,0.00,2921.00,285.00,1195.00,1891.00,71.00,28.00,2875.00,3.00,6.00,50.00,3.00,0.00,2153.00,13321.00,8057.00,230.00,17.00,0.00,7.00,5.00,2408.00,2367.00,98.30,11.00,4.00,0.00,0.00,26.00,23.00,1.00,2.00,0.00,2.00,1.00,272.00,60.00,28.00,68.20,2843.00
Romain SaÃ¯ss,0.9161944,0.2492663,0.534742879,0.70690741,ma MAR,CB,Wolves,30.00,1990.00,26.70,3.00,30.00,12.00,40.00,1.12,0.45,0.10,0.25,12.50,2.00,0.00,0.00,3.50,3.50,0.12,-0.50,-0.50,1157.00,1411.00,82.00,25009.00,10518.00,344.00,370.00,93.00,582.00,657.00,88.60,216.00,345.00,62.60,0.00,0.30,-0.30,6.00,106.00,8.00,3.00,106.00,1339.00,72.00,25.00,0.00,132.00,38.00,17.00,0.00,0.00,0.00,0.00,934.00,205.00,272.00,1129.00,137.00,68.00,47.00,2.00,2.00,25.00,25.00,26.00,16.00,0.60,13.00,1.00,1.00,1.00,0.00,0.00,1.00,0.04,1.00,0.00,0.00,0.00,0.00,0.00,37.00,18.00,25.00,12.00,0.00,7.00,22.00,31.80,15.00,259.00,78.00,30.10,167.00,87.00,5.00,43.00,16.00,3.00,27.00,39.00,82.00,76.00,165.00,2.00,1740.00,210.00,882.00,786.00,158.00,36.00,1668.00,8.00,14.00,57.10,8.00,0.00,940.00,4782.00,2792.00,70.00,14.00,0.00,8.00,3.00,1179.00,1136.00,96.40,13.00,2.00,0.00,0.00,33.00,12.00,1.00,17.00,0.00,2.00,0.00,219.00,89.00,53.00,62.70,2407.00
Lewis Dunk,0.7499293,0.24602313,0.474715612,0.83011599,eng ENG,CB,Brighton,28.00,1991.00,32.60,5.00,30.00,13.00,43.30,0.92,0.40,0.17,0.38,12.30,2.00,0.00,0.00,2.50,2.50,0.08,2.50,2.50,1935.00,2151.00,90.00,45296.00,12437.00,477.00,505.00,94.50,1000.00,1051.00,95.10,442.00,570.00,77.50,0.00,0.90,-0.90,9.00,116.00,2.00,0.00,70.00,2073.00,78.00,67.00,1.00,163.00,71.00,1.00,0.00,0.00,0.00,0.00,1630.00,196.00,325.00,134.00,1843.00,104.00,11.00,26.00,3.00,29.00,21.00,11.00,19.00,0.58,14.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,19.00,22.00,10.00,2.00,12.00,23.00,52.20,11.00,188.00,70.00,37.20,99.00,76.00,13.00,40.00,24.00,1.00,16.00,29.00,69.00,63.00,126.00,2.00,2413.00,402.00,1443.00,978.00,117.00,46.00,2339.00,5.00,6.00,83.30,6.00,0.00,1570.00,8505.00,4228.00,88.00,21.00,0.00,6.00,2.00,1710.00,1678.00,98.10,9.00,5.00,2.00,0.00,20.00,21.00,2.00,1.00,0.00,0.00,1.00,408.00,69.00,40.00,63.30,2931.00
John Stones,0.9134505,0.2444293,0.989351466,0.63202089,eng ENG,CB,Manchester City,26.00,1994.00,21.50,4.00,15.00,5.00,33.30,0.70,0.23,0.27,0.80,12.80,0.00,0.00,0.00,2.20,2.20,0.15,1.80,1.80,1615.00,1713.00,94.30,31552.00,7992.00,594.00,620.00,95.80,796.00,822.00,96.80,210.00,245.00,85.70,0.00,0.10,-0.10,2.00,113.00,4.00,0.00,75.00,1689.00,24.00,15.00,1.00,154.00,34.00,1.00,0.00,0.00,0.00,0.00,1499.00,92.00,122.00,216.00,1419.00,43.00,8.00,3.00,0.00,14.00,9.00,10.00,14.00,0.65,12.00,0.00,0.00,0.00,2.00,0.00,1.00,0.05,1.00,0.00,0.00,0.00,0.00,0.00,20.00,12.00,13.00,5.00,2.00,7.00,14.00,50.00,7.00,130.00,51.00,39.20,67.00,54.00,9.00,31.00,14.00,0.00,17.00,20.00,51.00,40.00,77.00,0.00,1878.00,179.00,718.00,1170.00,124.00,17.00,1856.00,9.00,11.00,81.80,10.00,1.00,1412.00,9865.00,5688.00,203.00,33.00,0.00,4.00,1.00,1554.00,1524.00,98.10,6.00,0.00,1.00,0.00,6.00,14.00,1.00,1.00,0.00,0.00,0.00,177.00,46.00,15.00,75.40,1933.00
Kevin Long,-3.00E-06,0.235472,0.083176303,0.88331272,ie IRL,CB,Burnley,29.00,1990.00,7.10,0.00,2.00,0.00,0.00,0.28,0.00,0.00,,8.30,0.00,0.00,0.00,0.30,0.30,0.15,-0.30,-0.30,181.00,255.00,71.00,4324.00,1387.00,41.00,50.00,82.00,91.00,116.00,78.40,46.00,80.00,57.50,0.00,0.00,0.00,0.00,9.00,2.00,0.00,15.00,251.00,4.00,3.00,0.00,35.00,12.00,1.00,0.00,0.00,0.00,0.00,145.00,19.00,91.00,14.00,189.00,35.00,1.00,0.00,0.00,8.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,8.00,10.00,4.00,0.00,5.00,8.00,62.50,3.00,53.00,20.00,37.70,34.00,18.00,1.00,9.00,5.00,0.00,4.00,4.00,13.00,18.00,31.00,0.00,315.00,42.00,175.00,135.00,10.00,7.00,311.00,0.00,0.00,,0.00,0.00,146.00,473.00,161.00,1.00,0.00,0.00,1.00,0.00,169.00,161.00,95.30,1.00,2.00,0.00,0.00,10.00,3.00,0.00,1.00,0.00,0.00,0.00,88.00,22.00,21.00,51.20,637.00
Daniel Amartey,0.562035,0.2337215,0.352150364,0.94528038,gh GHA,CB,Leicester City,25.00,1994.00,8.00,1.00,3.00,1.00,33.30,0.37,0.12,0.33,1.00,10.80,0.00,0.00,0.00,0.40,0.40,0.13,0.60,0.60,400.00,466.00,85.80,7606.00,2362.00,136.00,146.00,93.20,212.00,240.00,88.30,45.00,62.00,72.60,0.00,0.00,0.00,0.00,19.00,1.00,0.00,25.00,433.00,33.00,1.00,0.00,47.00,3.00,0.00,0.00,0.00,0.00,0.00,341.00,59.00,66.00,36.00,362.00,21.00,32.00,2.00,2.00,0.00,7.00,10.00,5.00,0.62,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,6.00,7.00,3.00,2.00,7.00,12.00,58.30,5.00,62.00,24.00,38.70,37.00,22.00,3.00,19.00,5.00,1.00,14.00,12.00,31.00,24.00,42.00,0.00,562.00,68.00,306.00,250.00,38.00,7.00,530.00,1.00,5.00,20.00,1.00,0.00,336.00,1329.00,732.00,13.00,5.00,0.00,4.00,3.00,360.00,343.00,95.30,1.00,3.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,94.00,21.00,15.00,58.30,722.00
Jamaal Lascelles,0.499426,0.230756,0.139128492,0.68476784,eng ENG,CB,Newcastle Utd,26.00,1993.00,18.10,2.00,15.00,3.00,20.00,0.83,0.17,0.13,0.67,9.50,0.00,0.00,0.00,1.00,1.00,0.07,1.00,1.00,487.00,599.00,81.30,10618.00,3333.00,130.00,146.00,89.00,274.00,300.00,91.30,79.00,141.00,56.00,0.00,0.00,0.00,1.00,30.00,5.00,0.00,32.00,583.00,16.00,16.00,1.00,76.00,10.00,1.00,0.00,0.00,0.00,0.00,399.00,54.00,146.00,91.00,438.00,45.00,0.00,2.00,1.00,5.00,13.00,5.00,4.00,0.22,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,12.00,11.00,6.00,2.00,4.00,6.00,66.70,2.00,148.00,53.00,35.80,89.00,52.00,7.00,39.00,18.00,2.00,21.00,15.00,54.00,34.00,108.00,1.00,806.00,180.00,544.00,246.00,36.00,17.00,790.00,2.00,3.00,66.70,2.00,0.00,404.00,1765.00,687.00,14.00,0.00,0.00,2.00,1.00,474.00,454.00,95.80,3.00,4.00,0.00,0.00,20.00,9.00,0.00,1.00,0.00,0.00,0.00,142.00,53.00,20.00,72.60,1625.00
Liam Cooper,0.7805008,0.2162344,0.519163011,1.000001665,sct SCO,CB,Leeds United,28.00,1991.00,24.30,1.00,15.00,8.00,53.30,0.62,0.33,0.07,0.13,8.70,0.00,0.00,0.00,1.30,1.30,0.08,-0.30,-0.30,1363.00,1555.00,87.70,31575.00,9368.00,291.00,312.00,93.30,784.00,821.00,95.50,285.00,407.00,70.00,0.00,0.00,0.00,0.00,78.00,3.00,0.00,67.00,1514.00,41.00,38.00,1.00,124.00,53.00,0.00,0.00,0.00,0.00,0.00,1148.00,149.00,258.00,1257.00,154.00,84.00,3.00,4.00,6.00,26.00,16.00,9.00,14.00,0.58,9.00,0.00,0.00,3.00,0.00,2.00,2.00,0.08,2.00,0.00,0.00,0.00,0.00,0.00,76.00,47.00,48.00,27.00,1.00,34.00,58.00,58.60,24.00,291.00,115.00,39.50,181.00,102.00,8.00,45.00,31.00,0.00,14.00,53.00,98.00,129.00,123.00,1.00,1864.00,273.00,1144.00,775.00,52.00,21.00,1829.00,3.00,3.00,100.00,3.00,0.00,1106.00,6472.00,3447.00,57.00,9.00,0.00,5.00,6.00,1212.00,1195.00,98.60,1.00,4.00,1.00,0.00,26.00,28.00,1.00,0.00,0.00,0.00,0.00,305.00,103.00,53.00,66.00,2185.00
Eric Dier,0.1341704,0.2142769,0.612473348,0.72267397,eng ENG,CB,Tottenham,26.00,1994.00,28.00,0.00,14.00,2.00,14.30,0.50,0.07,0.00,0.00,21.50,8.00,0.00,0.00,0.90,0.90,0.06,-0.90,-0.90,1400.00,1654.00,84.60,31629.00,10688.00,393.00,433.00,90.80,711.00,766.00,92.80,289.00,429.00,67.40,0.00,0.10,-0.10,3.00,72.00,5.00,0.00,62.00,1610.00,44.00,41.00,0.00,154.00,59.00,4.00,0.00,0.00,0.00,0.00,1201.00,129.00,324.00,244.00,1273.00,85.00,3.00,3.00,2.00,20.00,20.00,20.00,16.00,0.57,14.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,15.00,13.00,10.00,1.00,12.00,22.00,54.50,10.00,166.00,48.00,28.90,106.00,52.00,8.00,50.00,34.00,0.00,16.00,23.00,73.00,47.00,169.00,0.00,1942.00,365.00,1172.00,835.00,60.00,21.00,1891.00,3.00,5.00,60.00,4.00,0.00,1192.00,6480.00,3828.00,66.00,11.00,2.00,4.00,2.00,1362.00,1338.00,98.20,5.00,3.00,0.00,0.00,16.00,14.00,0.00,4.00,0.00,2.00,0.00,269.00,90.00,48.00,65.20,2520.00
ÃaÄlar SÃ¶yÃ¼ncÃ¼,0.2788566,0.2061532,0.882730322,0.68586193,tr TUR,CB,Leicester City,24.00,1996.00,20.20,1.00,9.00,3.00,33.30,0.45,0.15,0.11,0.33,10.20,0.00,0.00,0.00,0.50,0.50,0.06,0.50,0.50,1202.00,1351.00,89.00,22877.00,6879.00,436.00,468.00,93.20,639.00,683.00,93.60,115.00,179.00,64.20,0.00,0.20,-0.20,4.00,74.00,5.00,3.00,72.00,1293.00,58.00,27.00,0.00,93.00,34.00,8.00,0.00,0.00,0.00,0.00,1064.00,103.00,184.00,413.00,816.00,60.00,31.00,5.00,0.00,20.00,18.00,8.00,10.00,0.49,6.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,16.00,14.00,17.00,0.00,10.00,31.00,32.30,21.00,166.00,55.00,33.10,93.00,64.00,9.00,22.00,10.00,0.00,12.00,27.00,49.00,58.00,109.00,2.00,1564.00,164.00,748.00,859.00,76.00,23.00,1509.00,7.00,9.00,77.80,7.00,1.00,999.00,6625.00,3648.00,96.00,27.00,0.00,5.00,5.00,1136.00,1115.00,98.20,0.00,2.00,0.00,0.00,20.00,16.00,0.00,8.00,0.00,0.00,0.00,186.00,62.00,37.00,62.60,1819.00
Mohammed Salisu,0.200325,0.1999365,0.279796,0.99999848,gh GHA,CB,Southampton,21.00,1999.00,9.40,0.00,4.00,1.00,25.00,0.43,0.11,0.00,0.00,11.40,0.00,0.00,0.00,0.40,0.40,0.10,-0.40,-0.40,310.00,376.00,82.40,5129.00,1850.00,153.00,168.00,91.10,126.00,148.00,85.10,24.00,40.00,60.00,0.00,0.00,0.00,1.00,16.00,0.00,0.00,18.00,352.00,24.00,3.00,0.00,75.00,4.00,2.00,0.00,0.00,0.00,0.00,268.00,50.00,58.00,272.00,51.00,15.00,21.00,1.00,0.00,7.00,8.00,13.00,5.00,0.53,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,19.00,22.00,9.00,1.00,13.00,27.00,48.10,14.00,149.00,61.00,40.90,75.00,63.00,11.00,25.00,5.00,0.00,20.00,26.00,51.00,58.00,38.00,0.00,509.00,61.00,219.00,266.00,48.00,7.00,487.00,9.00,10.00,90.00,9.00,0.00,283.00,1366.00,547.00,24.00,8.00,0.00,6.00,13.00,291.00,278.00,95.50,3.00,1.00,0.00,0.00,12.00,4.00,0.00,2.00,0.00,0.00,0.00,75.00,26.00,18.00,59.10,844.00
John Egan,0.2600206,0.1996864,0.38429339,0.76552618,ie IRL,CB,Sheffield Utd,27.00,1992.00,29.20,0.00,14.00,3.00,21.40,0.48,0.10,0.00,0.00,9.80,0.00,0.00,0.00,0.70,0.70,0.05,-0.70,-0.70,925.00,1094.00,84.60,21851.00,6700.00,231.00,253.00,91.30,480.00,526.00,91.30,209.00,301.00,69.40,1.00,0.30,0.70,3.00,81.00,7.00,1.00,58.00,1070.00,24.00,21.00,1.00,112.00,29.00,2.00,0.00,0.00,0.00,0.00,734.00,98.00,262.00,140.00,827.00,75.00,3.00,8.00,3.00,27.00,8.00,8.00,13.00,0.45,12.00,0.00,0.00,0.00,0.00,1.00,1.00,0.03,1.00,0.00,0.00,0.00,0.00,0.00,47.00,30.00,34.00,12.00,1.00,17.00,34.00,50.00,17.00,247.00,81.00,32.80,155.00,87.00,5.00,56.00,33.00,1.00,23.00,41.00,97.00,88.00,160.00,1.00,1406.00,231.00,793.00,661.00,53.00,26.00,1382.00,2.00,2.00,100.00,2.00,0.00,711.00,5096.00,3070.00,70.00,7.00,0.00,4.00,1.00,827.00,793.00,95.90,2.00,7.00,1.00,0.00,33.00,10.00,0.00,2.00,0.00,0.00,0.00,259.00,86.00,57.00,60.10,2629.00
Willy Boly,0.3638344,0.197571,0.225711962,0.67500522,ci CIV,CB,Wolves,29.00,1991.00,20.90,1.00,14.00,3.00,21.40,0.67,0.14,0.07,0.33,12.10,0.00,0.00,0.00,1.10,1.10,0.08,-0.10,-0.10,830.00,1003.00,82.80,16279.00,5637.00,277.00,312.00,88.80,436.00,485.00,89.90,108.00,186.00,58.10,1.00,0.40,0.60,3.00,47.00,1.00,0.00,40.00,981.00,22.00,20.00,0.00,108.00,11.00,0.00,0.00,0.00,0.00,0.00,730.00,99.00,174.00,110.00,798.00,57.00,2.00,2.00,1.00,12.00,13.00,11.00,11.00,0.53,9.00,0.00,0.00,2.00,0.00,0.00,1.00,0.05,1.00,0.00,0.00,0.00,0.00,0.00,41.00,26.00,33.00,7.00,1.00,14.00,30.00,46.70,16.00,160.00,55.00,34.40,109.00,45.00,6.00,27.00,13.00,0.00,14.00,23.00,50.00,64.00,104.00,0.00,1219.00,133.00,612.00,618.00,45.00,19.00,1197.00,5.00,5.00,100.00,5.00,0.00,716.00,3131.00,1274.00,35.00,7.00,0.00,3.00,6.00,834.00,799.00,95.80,3.00,2.00,0.00,0.00,15.00,11.00,0.00,0.00,0.00,1.00,0.00,180.00,65.00,22.00,74.70,1879.00
Pascal Struijk,0.4959522,0.1951752,0.467226762,0.9129868,nl NED,CB,Leeds United,20.00,1999.00,23.10,1.00,14.00,4.00,28.60,0.61,0.17,0.07,0.25,9.00,0.00,0.00,0.00,2.40,2.40,0.17,-1.40,-1.40,1097.00,1259.00,87.10,24438.00,6594.00,275.00,306.00,89.90,616.00,660.00,93.30,196.00,272.00,72.10,0.00,0.20,-0.20,5.00,48.00,2.00,0.00,47.00,1220.00,39.00,34.00,0.00,103.00,38.00,1.00,2.00,0.00,0.00,2.00,956.00,104.00,199.00,943.00,215.00,70.00,3.00,3.00,1.00,24.00,18.00,11.00,12.00,0.52,11.00,0.00,0.00,1.00,0.00,0.00,2.00,0.09,2.00,0.00,0.00,0.00,0.00,0.00,56.00,29.00,37.00,18.00,1.00,14.00,29.00,48.30,15.00,382.00,118.00,30.90,204.00,155.00,23.00,52.00,23.00,0.00,29.00,41.00,93.00,97.00,102.00,1.00,1542.00,243.00,933.00,622.00,82.00,20.00,1503.00,4.00,5.00,80.00,4.00,1.00,838.00,5118.00,2946.00,28.00,5.00,0.00,5.00,9.00,1036.00,991.00,95.70,12.00,3.00,0.00,0.00,29.00,7.00,0.00,1.00,0.00,1.00,0.00,228.00,51.00,45.00,53.10,2075.00
Tosin Adarabioyo,0.3459868,0.1942864,0.38503211,0.68861321,eng ENG,CB,Fulham,22.00,1997.00,32.80,0.00,20.00,5.00,25.00,0.61,0.15,0.00,0.00,8.80,0.00,0.00,0.00,1.10,1.10,0.05,-1.10,-1.10,1594.00,1824.00,87.40,37337.00,11928.00,304.00,340.00,89.40,934.00,985.00,94.80,346.00,470.00,73.60,0.00,0.40,-0.40,5.00,68.00,5.00,1.00,73.00,1775.00,49.00,42.00,2.00,175.00,49.00,3.00,0.00,0.00,0.00,0.00,1409.00,128.00,287.00,248.00,1442.00,81.00,7.00,3.00,3.00,32.00,21.00,16.00,17.00,0.52,16.00,0.00,0.00,1.00,0.00,0.00,1.00,0.03,1.00,0.00,0.00,0.00,0.00,0.00,41.00,26.00,31.00,9.00,1.00,20.00,38.00,52.60,18.00,182.00,59.00,32.40,115.00,60.00,7.00,38.00,23.00,0.00,15.00,55.00,93.00,96.00,241.00,1.00,2221.00,462.00,1338.00,920.00,73.00,34.00,2172.00,8.00,11.00,72.70,9.00,0.00,1324.00,6173.00,3455.00,50.00,6.00,0.00,5.00,8.00,1531.00,1491.00,97.40,5.00,1.00,0.00,0.00,19.00,6.00,2.00,3.00,0.00,1.00,1.00,278.00,100.00,39.00,71.90,2953.00
Victor LindelÃ¶f,0.2121326,0.19132013,0.641754587,0.69428541,se SWE,CB,Manchester Utd,26.00,1994.00,28.70,1.00,4.00,1.00,25.00,0.14,0.03,0.25,1.00,5.90,0.00,0.00,0.00,0.70,0.70,0.17,0.30,0.30,1640.00,1800.00,91.10,32452.00,10570.00,539.00,571.00,94.40,895.00,933.00,95.90,191.00,264.00,72.30,1.00,0.70,0.30,6.00,99.00,6.00,0.00,92.00,1748.00,52.00,38.00,2.00,158.00,19.00,1.00,0.00,0.00,0.00,0.00,1497.00,130.00,173.00,271.00,1409.00,63.00,14.00,8.00,1.00,15.00,21.00,16.00,9.00,0.31,9.00,0.00,0.00,0.00,0.00,0.00,1.00,0.03,1.00,0.00,0.00,0.00,0.00,0.00,26.00,16.00,17.00,9.00,0.00,12.00,21.00,57.10,9.00,192.00,67.00,34.90,117.00,67.00,8.00,40.00,17.00,0.00,23.00,32.00,72.00,58.00,132.00,2.00,2036.00,331.00,1121.00,963.00,89.00,10.00,1987.00,2.00,4.00,50.00,2.00,0.00,1310.00,9111.00,5041.00,113.00,24.00,0.00,2.00,6.00,1485.00,1464.00,98.60,3.00,0.00,0.00,0.00,28.00,10.00,1.00,1.00,0.00,1.00,0.00,265.00,69.00,36.00,65.70,2585.00
Jonny Evans,0.558821,0.1910595,0.434350272,0.87957616,nir NIR,CB,Leicester City,32.00,1988.00,27.50,2.00,8.00,3.00,37.50,0.29,0.11,0.25,0.67,7.60,0.00,0.00,0.00,1.70,1.70,0.21,0.30,0.30,1544.00,1764.00,87.50,33869.00,10330.00,383.00,415.00,92.30,873.00,927.00,94.20,277.00,402.00,68.90,2.00,0.30,1.70,8.00,92.00,3.00,0.00,63.00,1723.00,41.00,37.00,0.00,201.00,32.00,2.00,0.00,0.00,0.00,0.00,1285.00,155.00,324.00,629.00,984.00,97.00,4.00,3.00,2.00,28.00,30.00,7.00,14.00,0.51,14.00,0.00,0.00,0.00,0.00,0.00,4.00,0.15,4.00,0.00,0.00,0.00,0.00,0.00,21.00,12.00,17.00,3.00,1.00,10.00,21.00,47.60,11.00,168.00,66.00,39.30,112.00,53.00,3.00,27.00,6.00,0.00,21.00,41.00,68.00,62.00,146.00,0.00,2008.00,298.00,1123.00,936.00,54.00,18.00,1969.00,6.00,6.00,100.00,6.00,0.00,1286.00,6416.00,3264.00,53.00,6.00,0.00,5.00,6.00,1383.00,1351.00,97.70,4.00,7.00,0.00,0.00,21.00,15.00,1.00,2.00,0.00,0.00,1.00,354.00,93.00,38.00,71.00,2473.00
Nathan AkÃ©,0.7159772,0.1882024,0.999999,0.6739572,nl NED,CB,Manchester City,25.00,1995.00,8.90,1.00,3.00,1.00,33.30,0.34,0.11,0.33,1.00,16.00,0.00,0.00,0.00,0.10,0.10,0.04,0.90,0.90,702.00,755.00,93.00,12873.00,3534.00,289.00,299.00,96.70,349.00,372.00,93.80,60.00,73.00,82.20,0.00,0.00,0.00,1.00,60.00,2.00,0.00,36.00,730.00,25.00,13.00,0.00,44.00,10.00,0.00,0.00,0.00,0.00,0.00,659.00,32.00,64.00,583.00,116.00,21.00,11.00,3.00,0.00,3.00,7.00,7.00,3.00,0.34,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,6.00,7.00,6.00,2.00,4.00,5.00,80.00,1.00,73.00,25.00,34.20,35.00,30.00,8.00,6.00,2.00,0.00,4.00,6.00,12.00,21.00,26.00,0.00,821.00,42.00,222.00,583.00,83.00,5.00,796.00,0.00,0.00,,0.00,0.00,607.00,3010.00,1847.00,70.00,27.00,0.00,3.00,2.00,671.00,656.00,97.80,2.00,4.00,0.00,0.00,8.00,6.00,0.00,0.00,0.00,1.00,0.00,80.00,30.00,17.00,63.80,797.00
